portfolio_key,name,provider,risk_band,max_equity_pct,min_horizon_years,liquidity_days,reg28_compliant,min_knowledge_band,requires_emergency_fund,underlying_fee_pct,description
liberty_conservative_equity_tracker,Liberty Conservative Equity Tracker,Liberty,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation, passive"
liberty_cpi_plus_c,Liberty CPI Plus C,Liberty,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term, C class"
liberty_global_bond_tracker,Liberty Global Bond Tracker,Liberty,2,20,2,5,0,2,0,,"fixed income, bonds, income, interest-rate risk, offshore, currency risk, passive"
liberty_global_equity_tracker,Liberty Global Equity Tracker,Liberty,5,100,7,5,0,3,1,,"equity, growth, high risk, long term, offshore, currency risk, passive"
liberty_high_equity_tracker,Liberty High Equity Tracker,Liberty,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, passive"
liberty_high_equity_tracker_c,Liberty High Equity Tracker C,Liberty,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, passive, C class"
liberty_low_equity_tracker,Liberty Low Equity Tracker,Liberty,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation, passive"
liberty_low_equity_tracker_c,Liberty Low Equity Tracker C,Liberty,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation, passive, C class"
liberty_lower_capped_tracker,Liberty Lower Capped Tracker,Liberty,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term, passive"
liberty_lower_capped_tracker_c,Liberty Lower Capped Tracker C,Liberty,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term, passive, C class"
liberty_medium_equity_tracker,Liberty Medium Equity Tracker,Liberty,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, passive"
liberty_medium_equity_tracker_c,Liberty Medium Equity Tracker C,Liberty,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, passive, C class"
liberty_multi_manager_shari_ah_balanced_fund,Liberty Multi Manager Shari’ah Ah Balanced Fund,Liberty,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, Shariah compliant"
liberty_offshore_aggressive,Liberty Offshore Aggressive,Liberty,5,100,7,5,0,3,1,,"equity, growth, high risk, long term, offshore, currency risk"
liberty_offshore_balanced_fund,Liberty Offshore Balanced Fund,Liberty,3,75,5,5,0,2,1,,"multi-asset, balanced, moderate growth, medium risk, offshore, currency risk"
liberty_offshore_cautious,Liberty Offshore Cautious,Liberty,2,40,3,5,0,2,1,,"low equity, multi-asset, conservative, capital preservation, offshore, currency risk"
liberty_top_40_tracker,Liberty Top 40 Tracker,Liberty,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, passive"
liberty_top_40_tracker_c,Liberty Top 40 Tracker C,Liberty,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, passive, C class"
liberty_unlisted_property,Liberty Unlisted Property,Liberty,4,100,5,5,0,3,1,,"property, real assets, growth, high volatility"
liberty_unlisted_property_c,Liberty Unlisted Property C,Liberty,4,100,5,5,0,3,1,,"property, real assets, growth, high volatility, C class"
m_and_g_balanced_fund,M & G Balanced Fund,M&G Investments,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
m_and_g_inflation_plus_fund,M & G Inflation Plus Fund,M&G Investments,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
melville_douglas_global_equity_feeder_fund,Melville Douglas Global Equity Feeder Fund,Melville Douglas,5,100,7,5,0,3,1,,"equity, growth, high risk, long term, offshore, currency risk, feeder fund"
multi_strategy_1,Multi Strategy 1,Liberty Multi-Manager,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term"
multi_strategy_1_c,Multi Strategy 1 C,Liberty Multi-Manager,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term, C class"
multi_strategy_2,Multi Strategy 2,Liberty Multi-Manager,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term"
multi_strategy_3,Multi Strategy 3,Liberty Multi-Manager,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
multi_strategy_3_c,Multi Strategy 3 C,Liberty Multi-Manager,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, C class"
multi_strategy_4,Multi Strategy 4,Liberty Multi-Manager,5,100,7,3,0,3,1,,"equity, growth, high risk, long term"
multi_strategy_4_c,Multi Strategy 4 C,Liberty Multi-Manager,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, C class"
multi_strategy_5,Multi Strategy 5,Liberty Multi-Manager,5,100,7,3,0,3,1,,"equity, growth, high risk, long term"
multi_strategy_5_c,Multi Strategy 5 C,Liberty Multi-Manager,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, C class"
nedgroup_investments_opportunity_fund,Nedgroup Investments Opportunity Fund,Nedgroup Investments,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term"
ninety_one_cautious_managed_fund,Ninety One Cautious Managed Fund,Ninety One,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation"
ninety_one_diversified_income_fund,Ninety One Diversified Income Fund,Ninety One,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk"
ninety_one_equity_fund,Ninety One Equity Fund,Ninety One,5,100,7,3,0,3,1,,"equity, growth, high risk, long term"
ninety_one_global_franchise_feeder_fund,Ninety One Global Franchise Feeder Fund,Ninety One,3,75,5,5,0,2,1,,"multi-asset, diversified, medium risk, long term, offshore, currency risk, feeder fund"
ninety_one_global_strategic_managed_feeder_fund,Ninety One Global Strategic Managed Feeder Fund,Ninety One,3,75,5,5,0,2,1,,"multi-asset, diversified, medium risk, long term, offshore, currency risk, feeder fund"
ninety_one_money_market_fund,Ninety One Money Market Fund,Ninety One,1,0,0,1,1,1,0,,"cash, money market, capital stability, high liquidity"
ninety_one_opportunity_fund,Ninety One Opportunity Fund,Ninety One,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term"
optimum_bci_balanced_fund_c,Optimum BCI Balanced Fund C,Optimum / BCI,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, C class"
optimum_bci_managed_growth_fund_c,Optimum BCI Managed Growth Fund C,Optimum / BCI,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, C class"
optimum_bci_stable_fund_c,Optimum BCI Stable Fund C,Optimum / BCI,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation, C class"
seed_income_prescient_fund,Seed Income Prescient Fund,Seed Investments,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk"
stanlib_absolute_plus_fund,Stanlib Absolute Plus Fund,STANLIB,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
stanlib_equity_fund,Stanlib Equity Fund,STANLIB,5,100,7,3,0,3,1,,"equity, growth, high risk, long term"
stanlib_flexible_income_fund,Stanlib Flexible Income Fund,STANLIB,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk"
stanlib_flexible_income_fund_b1,Stanlib Flexible Income Fund B1,STANLIB,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk"
stanlib_global_balanced_feeder_fund,Stanlib Global Balanced Feeder Fund,STANLIB,3,75,5,5,0,2,1,,"multi-asset, balanced, moderate growth, medium risk, offshore, currency risk, feeder fund"
stanlib_global_equity_feeder_fund,Stanlib Global Equity Feeder Fund,STANLIB,5,100,7,5,0,3,1,,"equity, growth, high risk, long term, offshore, currency risk, feeder fund"
stanlib_global_property_feeder_fund,Stanlib Global Property Feeder Fund,STANLIB,4,100,5,5,0,3,1,,"property, real assets, growth, high volatility, offshore, currency risk, feeder fund"
stanlib_income_fund,Stanlib Income Fund,STANLIB,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk"
stanlib_mm_global_equity_feeder_fund,Stanlib MM Global Equity Feeder Fund,STANLIB,5,100,7,5,0,3,1,,"equity, growth, high risk, long term, offshore, currency risk, feeder fund"
stanlib_mm_shari_ah_balanced_fund_of_funds,Stanlib MM Shari’ah Ah Balanced Fund Of Funds,STANLIB,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, Shariah compliant"
stanlib_money_market_fund,Stanlib Money Market Fund,STANLIB,1,0,0,1,1,1,0,,"cash, money market, capital stability, high liquidity"
stanlib_money_market_phasing_fund,Stanlib Money Market Phasing Fund,STANLIB,1,0,0,1,1,1,0,,"cash, money market, capital stability, high liquidity"
stanlib_multi_asset_growth_fund,Stanlib Multi Asset Growth Fund,STANLIB,5,100,7,3,0,3,1,,"equity, growth, high risk, long term"
stanlib_multi_manager_shari_ah_balanced_fof,Stanlib Multi Manager Shari’ah Ah Balanced FoF,STANLIB,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, Shariah compliant"
stanlib_property_income_fund,Stanlib Property Income Fund,STANLIB,4,100,5,5,0,3,1,,"property, real assets, growth, high volatility"
templeton_global_balanced,Templeton Global Balanced,Templeton,3,75,5,5,0,2,1,,"multi-asset, balanced, moderate growth, medium risk, offshore, currency risk"
trg_moderate_prescient_fund_of_funds,Trg Moderate Prescient Fund Of Funds,TRG / Prescient,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
